stop_name,station_name,stop_lat,stop_lon,route_ids,lines,route_count
TITIWANGSA,Titiwangsa,3.1735664999999997,101.6956415,"AG, MR, PH, PYL","AGL, MRL, PYL, SPL",4
CHAN SOW LIN,Chan Sow Lin,3.1282,101.71596799999999,"AG, PH, PYL","AGL, PYL, SPL",3
HANG TUAH,Hang Tuah,3.1401783333333335,101.705999,"AG, MR, PH","AGL, MRL, SPL",3
MASJID JAMEK,Masjid Jamek,3.1494180000000003,101.696523,"AG, KJ, PH","AGL, KJL, SPL",3
AMPANG PARK,Ampang Park,3.161072,101.7184135,"KJ, PYL","KJL, PYL",2
BANDARAYA - UOB,Bandaraya - UOB,3.155567,101.694485,"AG, PH","AGL, SPL",2
BUKIT BINTANG ,Bukit Bintang ,3.1462624999999997,101.7112235,"MR, MRT",MRL,2
KWASA DAMANSARA,Kwasa Damansara,3.1762392000000004,101.57209879999999,"MRT, PYL",PYL,2
MALURI,Maluri,3.1234564999999996,101.72754599999999,"AG, MRT",AGL,2
PASAR SENI,Pasar Seni,3.1423661325000003,101.6954371,"KJ, MRT",KJL,2
PLAZA RAKYAT,Plaza Rakyat,3.144049,101.702105,"AG, PH","AGL, SPL",2
PUDU,Pudu,3.134879,101.711957,"AG, PH","AGL, SPL",2
PUTRA HEIGHTS,Putra Heights,2.9961215,101.5754915,"KJ, PH","KJL, SPL",2
PWTC,Pwtc,3.166333,101.693586,"AG, PH","AGL, SPL",2
SENTUL,Sentul,3.178484,101.695542,"AG, PH","AGL, SPL",2
SENTUL TIMUR,Sentul Timur,3.185897,101.695217,"AG, PH","AGL, SPL",2
SULTAN ISMAIL,Sultan Ismail,3.161245,101.694109,"AG, PH","AGL, SPL",2
SUNGAI BESI,Sungai Besi,3.0637895000000004,101.708231,"PH, PYL","PYL, SPL",2
TUN RAZAK EXCHANGE,Tun Razak Exchange,3.1426464999999997,101.720248,"MRT, PYL",PYL,2
