date,year,month,month_name,year_month,day_of_week,day_type,mode,line_id,line,ridership
2019-01-01,2019,1,Jan,2019-01,Tuesday,Weekday,Monorail,MR,KL Monorail,35804
2019-01-01,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,113357
2019-01-01,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,KJ,LRT Kelana Jaya,139634
2019-01-01,2019,1,Jan,2019-01,Tuesday,Weekday,MRT,KGL,MRT Kajang,114173
2019-01-02,2019,1,Jan,2019-01,Wednesday,Weekday,Monorail,MR,KL Monorail,31859
2019-01-02,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,182715
2019-01-02,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,KJ,LRT Kelana Jaya,274224
2019-01-02,2019,1,Jan,2019-01,Wednesday,Weekday,MRT,KGL,MRT Kajang,169316
2019-01-03,2019,1,Jan,2019-01,Thursday,Weekday,Monorail,MR,KL Monorail,31893
2019-01-03,2019,1,Jan,2019-01,Thursday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,187904
2019-01-03,2019,1,Jan,2019-01,Thursday,Weekday,LRT,KJ,LRT Kelana Jaya,286469
2019-01-03,2019,1,Jan,2019-01,Thursday,Weekday,MRT,KGL,MRT Kajang,175304
2019-01-04,2019,1,Jan,2019-01,Friday,Weekday,Monorail,MR,KL Monorail,34121
2019-01-04,2019,1,Jan,2019-01,Friday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,198420
2019-01-04,2019,1,Jan,2019-01,Friday,Weekday,LRT,KJ,LRT Kelana Jaya,304755
2019-01-04,2019,1,Jan,2019-01,Friday,Weekday,MRT,KGL,MRT Kajang,187891
2019-01-05,2019,1,Jan,2019-01,Saturday,Weekend,Monorail,MR,KL Monorail,29950
2019-01-05,2019,1,Jan,2019-01,Saturday,Weekend,LRT,AG/PH,LRT Ampang/Sri Petaling,120773
2019-01-05,2019,1,Jan,2019-01,Saturday,Weekend,LRT,KJ,LRT Kelana Jaya,145036
2019-01-05,2019,1,Jan,2019-01,Saturday,Weekend,MRT,KGL,MRT Kajang,112660
2019-01-06,2019,1,Jan,2019-01,Sunday,Weekend,Monorail,MR,KL Monorail,25342
2019-01-06,2019,1,Jan,2019-01,Sunday,Weekend,LRT,AG/PH,LRT Ampang/Sri Petaling,101145
2019-01-06,2019,1,Jan,2019-01,Sunday,Weekend,LRT,KJ,LRT Kelana Jaya,120032
2019-01-06,2019,1,Jan,2019-01,Sunday,Weekend,MRT,KGL,MRT Kajang,95913
2019-01-07,2019,1,Jan,2019-01,Monday,Weekday,Monorail,MR,KL Monorail,31988
2019-01-07,2019,1,Jan,2019-01,Monday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,197569
2019-01-07,2019,1,Jan,2019-01,Monday,Weekday,LRT,KJ,LRT Kelana Jaya,301290
2019-01-07,2019,1,Jan,2019-01,Monday,Weekday,MRT,KGL,MRT Kajang,184365
2019-01-08,2019,1,Jan,2019-01,Tuesday,Weekday,Monorail,MR,KL Monorail,31792
2019-01-08,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,196879
2019-01-08,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,KJ,LRT Kelana Jaya,304680
2019-01-08,2019,1,Jan,2019-01,Tuesday,Weekday,MRT,KGL,MRT Kajang,185920
2019-01-09,2019,1,Jan,2019-01,Wednesday,Weekday,Monorail,MR,KL Monorail,32305
2019-01-09,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,197314
2019-01-09,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,KJ,LRT Kelana Jaya,307069
2019-01-09,2019,1,Jan,2019-01,Wednesday,Weekday,MRT,KGL,MRT Kajang,188770
2019-01-10,2019,1,Jan,2019-01,Thursday,Weekday,Monorail,MR,KL Monorail,32057
2019-01-10,2019,1,Jan,2019-01,Thursday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,198876
2019-01-10,2019,1,Jan,2019-01,Thursday,Weekday,LRT,KJ,LRT Kelana Jaya,310510
2019-01-10,2019,1,Jan,2019-01,Thursday,Weekday,MRT,KGL,MRT Kajang,189818
2019-01-11,2019,1,Jan,2019-01,Friday,Weekday,Monorail,MR,KL Monorail,33265
2019-01-11,2019,1,Jan,2019-01,Friday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,209859
2019-01-11,2019,1,Jan,2019-01,Friday,Weekday,LRT,KJ,LRT Kelana Jaya,326471
2019-01-11,2019,1,Jan,2019-01,Friday,Weekday,MRT,KGL,MRT Kajang,204378
2019-01-12,2019,1,Jan,2019-01,Saturday,Weekend,Monorail,MR,KL Monorail,30671
2019-01-12,2019,1,Jan,2019-01,Saturday,Weekend,LRT,AG/PH,LRT Ampang/Sri Petaling,124608
2019-01-12,2019,1,Jan,2019-01,Saturday,Weekend,LRT,KJ,LRT Kelana Jaya,152720
2019-01-12,2019,1,Jan,2019-01,Saturday,Weekend,MRT,KGL,MRT Kajang,123932
2019-01-13,2019,1,Jan,2019-01,Sunday,Weekend,Monorail,MR,KL Monorail,27235
2019-01-13,2019,1,Jan,2019-01,Sunday,Weekend,LRT,AG/PH,LRT Ampang/Sri Petaling,106718
2019-01-13,2019,1,Jan,2019-01,Sunday,Weekend,LRT,KJ,LRT Kelana Jaya,127805
2019-01-13,2019,1,Jan,2019-01,Sunday,Weekend,MRT,KGL,MRT Kajang,108346
2019-01-14,2019,1,Jan,2019-01,Monday,Weekday,Monorail,MR,KL Monorail,32172
2019-01-14,2019,1,Jan,2019-01,Monday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,199162
2019-01-14,2019,1,Jan,2019-01,Monday,Weekday,LRT,KJ,LRT Kelana Jaya,306455
2019-01-14,2019,1,Jan,2019-01,Monday,Weekday,MRT,KGL,MRT Kajang,192036
2019-01-15,2019,1,Jan,2019-01,Tuesday,Weekday,Monorail,MR,KL Monorail,31260
2019-01-15,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,195405
2019-01-15,2019,1,Jan,2019-01,Tuesday,Weekday,LRT,KJ,LRT Kelana Jaya,305742
2019-01-15,2019,1,Jan,2019-01,Tuesday,Weekday,MRT,KGL,MRT Kajang,189880
2019-01-16,2019,1,Jan,2019-01,Wednesday,Weekday,Monorail,MR,KL Monorail,31612
2019-01-16,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,198901
2019-01-16,2019,1,Jan,2019-01,Wednesday,Weekday,LRT,KJ,LRT Kelana Jaya,311279
2019-01-16,2019,1,Jan,2019-01,Wednesday,Weekday,MRT,KGL,MRT Kajang,194697
2019-01-17,2019,1,Jan,2019-01,Thursday,Weekday,Monorail,MR,KL Monorail,31234
2019-01-17,2019,1,Jan,2019-01,Thursday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,201926
2019-01-17,2019,1,Jan,2019-01,Thursday,Weekday,LRT,KJ,LRT Kelana Jaya,314277
2019-01-17,2019,1,Jan,2019-01,Thursday,Weekday,MRT,KGL,MRT Kajang,194701
2019-01-18,2019,1,Jan,2019-01,Friday,Weekday,Monorail,MR,KL Monorail,35981
2019-01-18,2019,1,Jan,2019-01,Friday,Weekday,LRT,AG/PH,LRT Ampang/Sri Petaling,217270
2019-01-18,2019,1,Jan,2019-01,Friday,Weekday,LRT,KJ,LRT Kelana Jaya,330484
2019-01-18,2019,1,Jan,2019-01,Friday,Weekday,MRT,KGL,MRT Kajang,212546
2019-01-19,2019,1,Jan,2019-01,Saturday,Weekend,Monorail,MR,KL Monorail,30339
2019-01-19,2019,1,Jan,2019-01,Saturday,Weekend,LRT,AG/PH,LRT Ampang/Sri Petaling,130758
2019-01-19,2019,1,Jan,2019-01,Saturday,Weekend,LRT,KJ,LRT Kelana Jaya,157194
