year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2019-01,2019,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,5363000,173000,31
2019-01,2019,1,Jan,LRT,KJ,LRT Kelana Jaya,7900483,254854,31
2019-01,2019,1,Jan,MRT,KGL,MRT Kajang,5206125,167940,31
2019-01,2019,1,Jan,Monorail,MR,KL Monorail,978364,31560,31
2019-02,2019,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,4454115,159076,28
2019-02,2019,2,Feb,LRT,KJ,LRT Kelana Jaya,6523515,232983,28
2019-02,2019,2,Feb,MRT,KGL,MRT Kajang,4319140,154255,28
2019-02,2019,2,Feb,Monorail,MR,KL Monorail,857334,30619,28
2019-03,2019,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,5617697,181216,31
2019-03,2019,3,Mar,LRT,KJ,LRT Kelana Jaya,8127743,262185,31
2019-03,2019,3,Mar,MRT,KGL,MRT Kajang,5393067,173970,31
2019-03,2019,3,Mar,Monorail,MR,KL Monorail,1018990,32871,31
2019-04,2019,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,5571821,185727,30
2019-04,2019,4,Apr,LRT,KJ,LRT Kelana Jaya,8189219,272974,30
2019-04,2019,4,Apr,MRT,KGL,MRT Kajang,5294479,176483,30
2019-04,2019,4,Apr,Monorail,MR,KL Monorail,999786,33326,30
2019-05,2019,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,5458497,176081,31
2019-05,2019,5,May,LRT,KJ,LRT Kelana Jaya,7746135,249875,31
2019-05,2019,5,May,MRT,KGL,MRT Kajang,5155333,166301,31
2019-05,2019,5,May,Monorail,MR,KL Monorail,935505,30178,31
2019-06,2019,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,4906864,163562,30
2019-06,2019,6,Jun,LRT,KJ,LRT Kelana Jaya,7000564,233352,30
2019-06,2019,6,Jun,MRT,KGL,MRT Kajang,4793691,159790,30
2019-06,2019,6,Jun,Monorail,MR,KL Monorail,918356,30612,30
2019-07,2019,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,5757222,185717,31
2019-07,2019,7,Jul,LRT,KJ,LRT Kelana Jaya,8515230,274685,31
2019-07,2019,7,Jul,MRT,KGL,MRT Kajang,5729242,184814,31
2019-07,2019,7,Jul,Monorail,MR,KL Monorail,1034805,33381,31
2019-08,2019,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,5577557,179921,31
2019-08,2019,8,Aug,LRT,KJ,LRT Kelana Jaya,8237693,265732,31
2019-08,2019,8,Aug,MRT,KGL,MRT Kajang,5556259,179234,31
2019-08,2019,8,Aug,Monorail,MR,KL Monorail,1049288,33848,31
2019-09,2019,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,5182224,172741,30
2019-09,2019,9,Sep,LRT,KJ,LRT Kelana Jaya,7371250,245708,30
2019-09,2019,9,Sep,MRT,KGL,MRT Kajang,5084785,169493,30
2019-09,2019,9,Sep,Monorail,MR,KL Monorail,993359,33112,30
2019-10,2019,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,5816211,187620,31
2019-10,2019,10,Oct,LRT,KJ,LRT Kelana Jaya,8571260,276492,31
2019-10,2019,10,Oct,MRT,KGL,MRT Kajang,5870709,189378,31
2019-10,2019,10,Oct,Monorail,MR,KL Monorail,1170952,37773,31
2019-11,2019,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,5735068,191169,30
2019-11,2019,11,Nov,LRT,KJ,LRT Kelana Jaya,8281889,276063,30
2019-11,2019,11,Nov,MRT,KGL,MRT Kajang,5715953,190532,30
2019-11,2019,11,Nov,Monorail,MR,KL Monorail,1205397,40180,30
2019-12,2019,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,5706946,184095,31
2019-12,2019,12,Dec,LRT,KJ,LRT Kelana Jaya,8192993,264290,31
2019-12,2019,12,Dec,MRT,KGL,MRT Kajang,5834022,188194,31
2019-12,2019,12,Dec,Monorail,MR,KL Monorail,1373602,44310,31
2020-01,2020,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,5389518,173855,31
2020-01,2020,1,Jan,LRT,KJ,LRT Kelana Jaya,7895017,254678,31
2020-01,2020,1,Jan,MRT,KGL,MRT Kajang,5576657,179892,31
2020-01,2020,1,Jan,Monorail,MR,KL Monorail,1216758,39250,31
2020-02,2020,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,5161307,177976,29
2020-02,2020,2,Feb,LRT,KJ,LRT Kelana Jaya,7628423,263049,29
2020-02,2020,2,Feb,MRT,KGL,MRT Kajang,5318955,183412,29
2020-02,2020,2,Feb,Monorail,MR,KL Monorail,1085541,37432,29
2020-03,2020,3,Mar,LRT,AG/PH,LRT Ampang/Sri Petaling,3144777,101444,31
2020-03,2020,3,Mar,LRT,KJ,LRT Kelana Jaya,4465478,144048,31
2020-03,2020,3,Mar,MRT,KGL,MRT Kajang,3078103,99294,31
2020-03,2020,3,Mar,Monorail,MR,KL Monorail,626524,20210,31
2020-04,2020,4,Apr,LRT,AG/PH,LRT Ampang/Sri Petaling,394171,13139,30
2020-04,2020,4,Apr,LRT,KJ,LRT Kelana Jaya,477372,15912,30
2020-04,2020,4,Apr,MRT,KGL,MRT Kajang,309718,10324,30
2020-04,2020,4,Apr,Monorail,MR,KL Monorail,72630,2421,30
2020-05,2020,5,May,LRT,AG/PH,LRT Ampang/Sri Petaling,1205494,38887,31
2020-05,2020,5,May,LRT,KJ,LRT Kelana Jaya,1332920,42997,31
2020-05,2020,5,May,MRT,KGL,MRT Kajang,1022762,32992,31
2020-05,2020,5,May,Monorail,MR,KL Monorail,239120,7714,31
2020-06,2020,6,Jun,LRT,AG/PH,LRT Ampang/Sri Petaling,2297520,76584,30
2020-06,2020,6,Jun,LRT,KJ,LRT Kelana Jaya,2763468,92116,30
2020-06,2020,6,Jun,MRT,KGL,MRT Kajang,2074057,69135,30
2020-06,2020,6,Jun,Monorail,MR,KL Monorail,462853,15428,30
2020-07,2020,7,Jul,LRT,AG/PH,LRT Ampang/Sri Petaling,3195946,103095,31
2020-07,2020,7,Jul,LRT,KJ,LRT Kelana Jaya,4037258,130234,31
2020-07,2020,7,Jul,MRT,KGL,MRT Kajang,3033868,97867,31
2020-07,2020,7,Jul,Monorail,MR,KL Monorail,652916,21062,31
2020-08,2020,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,3227890,104125,31
2020-08,2020,8,Aug,LRT,KJ,LRT Kelana Jaya,4047143,130553,31
2020-08,2020,8,Aug,MRT,KGL,MRT Kajang,3097549,99921,31
