grid_lat,grid_lon,station_records,lines
2.94,101.66,1,PYL
2.94,101.68,1,PYL
2.96,101.66,2,PYL
2.98,101.66,1,PYL
2.98,101.68,1,PYL
2.98,101.8,1,
3.0,101.58,3,"KJL, SPL"
3.0,101.6,2,SPL
3.0,101.7,1,PYL
3.0,101.78,2,
3.02,101.58,2,KJL
3.02,101.62,2,SPL
3.02,101.7,2,PYL
3.02,101.78,1,
3.04,101.58,1,KJL
3.04,101.6,1,KJL
3.04,101.62,2,SPL
3.04,101.7,1,PYL
3.04,101.78,2,
3.06,101.58,1,KJL
3.06,101.6,5,"BRT, KJL"
3.06,101.64,1,SPL
3.06,101.66,2,SPL
3.06,101.68,2,SPL
3.06,101.7,3,"PYL, SPL"
3.06,101.78,1,
3.08,101.58,2,KJL
3.08,101.62,3,BRT
3.08,101.7,2,PYL
3.08,101.72,2,SPL
3.08,101.74,1,
3.08,101.76,1,
3.1,101.58,1,KJL
3.1,101.6,1,KJL
3.1,101.62,1,KJL
3.1,101.64,2,KJL
3.1,101.7,1,SPL
3.1,101.74,2,
3.12,101.6,2,KJL
3.12,101.62,1,KJL
3.12,101.64,1,
3.12,101.66,2,KJL
3.12,101.68,2,KJL
3.12,101.72,8,"AGL, PYL, SPL"
3.14,101.6,1,
3.14,101.62,1,
3.14,101.64,1,
3.14,101.66,1,
3.14,101.68,3,"KJL, MRL"
3.14,101.7,14,"AGL, KJL, MRL, SPL"
3.14,101.72,7,"AGL, MRL, PYL, SPL"
3.14,101.74,2,AGL
3.14,101.76,2,AGL
3.16,101.58,1,
3.16,101.6,1,
3.16,101.66,1,
3.16,101.7,11,"AGL, KJL, MRL, SPL"
3.16,101.72,8,"KJL, MRL, PYL"
3.16,101.74,2,KJL
3.16,101.76,1,AGL
3.18,101.56,1,
3.18,101.58,2,PYL
3.18,101.68,2,PYL
3.18,101.7,9,"AGL, MRL, PYL, SPL"
3.18,101.74,1,KJL
3.2,101.58,2,PYL
3.2,101.6,2,PYL
3.2,101.62,2,PYL
3.2,101.66,2,PYL
3.2,101.68,2,PYL
3.2,101.74,2,KJL
3.22,101.64,2,PYL
3.22,101.72,1,KJL
3.24,101.72,1,KJL
