stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
AG18,Ampang,AMPANG,3.150318,101.760049,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG17,Cahaya,CAHAYA,3.140575,101.756677,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG16,Cempaka,CEMPAKA,3.138324,101.752979,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG15,Pandan Indah,PANDAN INDAH,3.134581,101.746509,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG14,Pandan Jaya,PANDAN JAYA,3.130141,101.739122,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG13,Maluri,MALURI,3.12329,101.727283,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG12,Miharja,MIHARJA,3.120973,101.717922,LRT,AG,AGL,LRT Ampang Line,#e57200,True,False,valid
AG11,Chan Sow Lin,CHAN SOW LIN,3.128105,101.715637,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG10,Pudu,PUDU,3.134879,101.711957,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG9,Hang Tuah,HANG TUAH,3.140012,101.705984,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG8,Plaza Rakyat,PLAZA RAKYAT,3.144049,101.702105,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG7,Masjid Jamek,MASJID JAMEK,3.14927,101.696377,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG6,Bandaraya - UOB,BANDARAYA - UOB,3.155567,101.694485,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG5,Sultan Ismail,SULTAN ISMAIL,3.161245,101.694109,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG4,Pwtc,PWTC,3.166333,101.693586,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG3,Titiwangsa,TITIWANGSA,3.173497,101.695367,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG2,Sentul,SENTUL,3.178484,101.695542,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
AG1,Sentul Timur,SENTUL TIMUR,3.185897,101.695217,LRT,AG,AGL,LRT Ampang Line,#e57200,True,True,valid
KJ37,Putra Heights,PUTRA HEIGHTS,2.996227,101.575462,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,True,valid
KJ36,Subang Alam,SUBANG ALAM,3.009421,101.572281,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ35,Alam Megah,ALAM MEGAH,3.023151,101.572029,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ34,Usj 21,USJ 21,3.029881,101.581711,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ33,Wawasan,WAWASAN,3.035062,101.588348,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ32,Taipan,TAIPAN,3.04815,101.590233,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
KJ31,Usj 7,USJ 7,3.054956,101.592194,LRT,KJ,KJL,LRT Kelana Jaya Line,#D50032,True,False,valid
